Model,PSNR,SSIM,MS-SSIM,LPIPS,NIQE,MUSIQ,TOPIQ-NR,URanker,UCIQE,UIQM,Latency(ms),Params(M),GPU Mem(MB),RankScore,FinalRank
SS-UIE,27.040246763229373,0.9260198090876289,0.9771710493345998,0.12761948967016198,5.439275228120837,43.34527542555774,0.450383823722325,1.5771923171563496,4.617032081628287,6.29185839044827,86.91468172426575,20.633645,1244.583984375,36.0,1.0
OurV2,25.55207680861155,0.916727868826939,0.9765125644688567,0.14644441575467312,5.640566181531665,41.88021952222895,0.4389278043440923,1.5985406092944459,4.66496508654621,6.365762494979081,46.20161566275138,7.913092,1666.61474609375,43.0,2.0
U-shape,25.629855610706187,0.8787755801849745,0.9654054800855518,0.1623568374035811,5.26718760538137,42.18789762911973,0.43724913197397086,1.4881329603864881,4.536291143452679,6.395923860746401,32.483431885330766,31.589775,1452.904296875,49.0,3.0
BLUE-Net,23.27860074166898,0.9010123316424791,0.9528113813675971,0.186321213604296,5.447166929270526,41.46409059197814,0.4439881395500291,1.9551063173328078,4.874591743515597,6.053316780372903,238.87418613009982,5.195251,2530.75830078125,52.0,4.0
OurV1,23.038582487459536,0.898586030390458,0.9507575682972207,0.19246645093723028,5.443656977376165,42.076906175878314,0.437115488326246,2.0209024075561857,4.8883427860891375,5.88622275699068,218.00596338342737,5.666914000000001,2278.14599609375,55.0,5.0
PUIE-Net,20.73924428180412,0.8936722135492964,0.9563470573224254,0.20272343441223106,5.4446086483467395,41.05064795591213,0.4378319745634993,1.6884457653174954,3.966580561852014,6.528928730355369,72.61199155454283,16.115707,1850.880859375,59.0,6.0
USUIR,18.16258913870211,0.861800016120712,0.9322726356441082,0.2867079044147222,5.247922121115692,41.4130238616908,0.43346370931438827,1.5544463048355344,5.598911260189833,6.111558499358318,6.413303038632428,0.225542,1254.708984375,59.0,6.0
Shallow-UWnet,20.039177665533842,0.817976241973818,0.914442017469555,0.334121746238735,7.020663199770309,37.730228316254085,0.3754432678270947,0.8361625164520444,3.7400101072423992,7.714357608600899,123.25506602605185,0.219456,1500.693359375,79.0,8.0
